observed_on,time_observed_at,coordinates_obscured,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
8/11/2019,2019-08-11 20:54:02 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/1/2019,2019-08-01 22:02:56 UTC,FALSE,Hampshire,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/18/2019,2019-08-18 16:59:01 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/18/2019,2019-08-18 21:13:00 UTC,FALSE,Mercer,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/21/2019,2019-08-21 23:45:12 UTC,FALSE,Roane,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/22/2019,2019-08-22 18:26:04 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/21/2019,2019-08-21 15:13:38 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/24/2019,2019-08-24 17:54:31 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/24/2019,2019-08-24 17:57:15 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/24/2019,2019-08-24 17:58:45 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/18/2019,2019-08-18 21:14:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/25/2019,2019-08-25 18:12:32 UTC,FALSE,Preston,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/28/2019,2019-08-28 20:15:49 UTC,FALSE,Ohio,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/29/2019,2019-08-29 16:13:17 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/30/2019,2019-08-30 16:59:49 UTC,FALSE,Ohio,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/30/2019,2019-08-30 17:00:23 UTC,FALSE,Ohio,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/30/2019,2019-08-30 17:03:41 UTC,FALSE,Raleigh,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/31/2019,2019-08-31 19:50:11 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/1/2019,2019-09-01 21:19:19 UTC,FALSE,Hardy,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/29/2019,2019-08-29 12:34:16 UTC,FALSE,Ohio,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/1/2019,2019-09-01 22:11:46 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
